Timestamp,Your name,Roll Number,Your school name,Your class,What was your last year overall percentage or CGPA?,How much time do you spend every day on your self study and homework?,Which is your least favourite or toughest subject?,Subject group,Choose Subject Where The Subject Teacher Rating is [Excellent],Choose Subject Where The Subject Teacher Rating is [Very Good],Choose Subject Where The Subject Teacher Rating is [Good],Choose Subject Where The Subject Teacher Rating is [Average],Choose Subject Where The Subject Teacher Rating is [Poor],Do teachers provide enough support for your academic learning and solving queries?,How do you meet your academic learning goal?,How well do teachers give real-world applications or examples in class?,Does your faculty encourage you to ask questions and create an interactive classroom?,Please add your suggestions or concern related to any teacher.,Does your school have sufficient availability of computer or science labs and libraries that enhance your learning experience?,"Are there sufficient resources for extracurricular activities like music, sports, yoga, dancing, art & crafts?","Does your school conduct events that encourage creativity, innovation, and leadership?",How satisfied are you with the transportation facilities provided by school?,Does your school provide career guidance and academic counselling?,Please share any suggestions or concerns about your school facilities.,How well does your school resolve issues of bullying and harassment?,School behaviour towards challenges like late fees or fee concessions?,Do you feel that there is a fair and transparent exam results and paper checking?,Does your school handle academic stress and wellness issues?,Do you think your school adequately prepared you for competitive exams?,How satisfied are you with the overall quality of teaching at the school?,How would you recommend this school to your friends?,Please share any suggestions or concerns about your school.
01/04/2025 03:28:08,Riya Singh,100247,JNV VARANASI,9 th,8,<2 Hrs,Hindi,IT/CS,"Accountancy, Maths","Biology, Economics","Hindi, Science","Business Studies, Other",Physics,Agree,School only,Very poor,Strongly disagree,No concerns,Strongly disagree,Very sufficient,Disagree,Dissatisfied,Disagree,Improve transport,Well,Neutral,Neutral,Very well,Strongly disagree,Not satisfied,5,More sports events
01/01/2025 04:32:08,Kunal Kumar,100248,JNV VARANASI,8 th,9,More than 4 Hrs,Maths,IT/CS,"Hindi, Physics","Physics, Biology","IT/CS, Economics","Physics, Economics",Hindi,Agree,Online coaching,Excellent,Agree,Want more doubt sessions,Neutral,Very sufficient,Disagree,Very dissatisfied,Strongly agree,"The school playground and sports facilities are good, but access is limited mostly to students who are part of sports teams. Regular students don't get enough opportunity to use these facilities during breaks or free periods. More open access would encourage physical activity among all students.",Poorly,Negative,Neutral,Well,Disagree,Highly satisfied,1,"I suggest that the school should reconsider its strict uniform and grooming policies. While maintaining discipline is important, some rules about hair length and accessories seem unnecessary and don't affect our ability to learn. A more relaxed approach would be appreciated by students."
10/12/2025 04:04:08,Vikas Yadav,100249,JNV VARANASI,9 th,9,2-3 Hrs,Biology,IT/CS,"Chemistry, Maths","Accountancy, Other","English, Accountancy","English, Business Studies",Economics,Agree,School only,Excellent,Neutral,"Our economics teacher makes the subject very interesting by discussing current events and news. However, sometimes the discussions go off-topic and we don't cover the syllabus properly. I suggest having a better balance between current events and textbook concepts.",Disagree,Very sufficient,Neutral,Neutral,Agree,More activities needed,Adequately,Strongly positive,Disagree,Very well,Strongly agree,Satisfied,4,"I recommend that the school starts a student council with real decision-making powers. Currently, decisions about school events and policies are made without any student input. Involving students in planning would make us more responsible and ensure that our needs are considered."
21/11/2025 15:12:08,Kavita Saxena,100250,JNV VARANASI,8 th,9,More than 4 Hrs,Science,IT/CS,"Chemistry, Economics","Biology, Hindi","Biology, Other","Social Science, Other",Chemistry,Strongly disagree,Coaching from outside faculty,Excellent,Agree,Need more practice problems,Neutral,Very sufficient,Strongly disagree,Satisfied,Strongly disagree,No concerns,Well,Strongly positive,Neutral,Well,Disagree,Highly satisfied,1,More activities
05/02/2025 17:09:08,Arjun Rastogi,100251,JNV VARANASI,8 th,6,2-3 Hrs,Business Studies,Commerce,"Chemistry, Economics","Chemistry, Other","Economics, English","Science, Hindi",Maths,Strongly agree,School only,Average,Agree,Better revision needed,Neutral,Very insufficient,Agree,Dissatisfied,Strongly agree,More activities needed,Well,Neutral,Neutral,Adequately,Strongly agree,Extremely dissatisfied,3,Better facilities
10/01/2025 07:13:08,Abhishek Kumar,100252,JNV VARANASI,9 th,8,More than 4 Hrs,Chemistry,IT/CS,"Maths, Physics","Science, IT/CS","Physics, Business Studies","Business Studies, Social Science",Economics,Disagree,School only,Average,Strongly agree,Better revision needed,Strongly disagree,Sufficient,Strongly agree,Very dissatisfied,Disagree,No concerns,Very well,Strongly positive,Strongly disagree,Poorly,Agree,Somewhat satisfied,5,Improve teaching
23/09/2025 14:20:08,Amit Pandey,100253,JNV VARANASI,9 th,6,More than 4 Hrs,Business Studies,Commerce,"Accountancy, Business Studies","Economics, Social Science","Hindi, Biology","Other, Biology",English,Strongly disagree,Online coaching,Good,Strongly agree,Our class teacher is very supportive and always listens to our problems patiently. I really appreciate how she handles conflicts between students fairly and creates a positive classroom environment. More teachers should follow her approach of being approachable and understanding.,Neutral,Sufficient,Strongly agree,Very satisfied,Neutral,More activities needed,Very poorly,Neutral,Disagree,Adequately,Neutral,Highly satisfied,4,Reduce pressure
02/08/2025 03:23:08,Manish Malhotra,100254,JNV VARANASI,7 th,8,2-3 Hrs,Maths,Maths,"Business Studies, Science","Other, Accountancy","Other, Business Studies","Economics, Other",Business Studies,Disagree,Coaching from outside faculty,Excellent,Strongly disagree,Better revision needed,Agree,Very insufficient,Neutral,Dissatisfied,Strongly disagree,Good overall,Very well,Strongly positive,Agree,Well,Neutral,Not satisfied,1,Improve labs
26/12/2024 21:29:08,Deepak Kumar,100255,JNV VARANASI,11th,6,2-3 Hrs,Accountancy,Maths,"Physics, Maths","Science, Economics","Science, Other","Science, Hindi",Other,Strongly disagree,Internet materials,Average,Agree,Classes are too fast,Strongly agree,Very insufficient,Disagree,Satisfied,Neutral,Good overall,Adequately,Positive,Strongly disagree,Adequately,Strongly disagree,Not satisfied,1,More activities
25/04/2025 16:29:08,Amit Jain,100256,JNV VARANASI,7 th,9,3-4 Hrs,Science,Commerce,"Other, Accountancy","English, IT/CS","Social Science, Accountancy","Physics, Business Studies",Economics,Strongly agree,School only,Very poor,Agree,Want more doubt sessions,Strongly disagree,Neutral,Strongly disagree,Dissatisfied,Agree,More sports facilities,Very poorly,Strongly negative,Strongly agree,Very poorly,Strongly disagree,Somewhat satisfied,4,The school should organize regular workshops and seminars with industry professionals and alumni who have succeeded in different fields. Hearing from people who have practical experience would inspire students and give us better insights into various career paths available after school.
02/02/2025 11:27:08,Vivek Kapoor,100257,JNV VARANASI,11th,9,3-4 Hrs,IT/CS,Commerce,"Biology, Science","Accountancy, Chemistry","Chemistry, English","Chemistry, Accountancy",Maths,Disagree,Coaching from existing faculty,Good,Strongly agree,"The physical education teacher is very encouraging and helps build confidence in sports. However, I feel that students who are not naturally athletic get ignored sometimes. It would be nice if there were activities suitable for all fitness levels, not just competitive sports.",Strongly agree,Neutral,Agree,Neutral,Strongly disagree,"I feel that our school should focus more on environmental awareness and sustainability practices. We could start with basic things like proper waste segregation, reducing plastic usage, and planting more trees in the campus. This would teach students important values while making our school more eco-friendly.",Very well,Strongly negative,Strongly agree,Very poorly,Neutral,Not satisfied,4,"Our school should have better facilities for students interested in arts and creative fields. Currently, there is too much emphasis on science and commerce while arts students are neglected. A proper art room, music room with instruments, and dedicated teachers for creative subjects would be very helpful."
25/05/2025 18:21:08,Rohit Bansal,100258,JNV VARANASI,9 th,5,2-3 Hrs,Physics,IT/CS,"IT/CS, Biology","Chemistry, Economics","Chemistry, Biology","Social Science, Business Studies",Science,Strongly agree,Coaching from outside faculty,Good,Strongly agree,"Our English teacher is excellent at teaching grammar and writing skills, but I feel we need more focus on spoken English and communication. Many students in our class struggle with speaking confidently in English. Perhaps we could have regular debates or presentations to improve our speaking abilities.",Strongly agree,Very insufficient,Disagree,Very satisfied,Disagree,More activities needed,Poorly,Strongly negative,Agree,Adequately,Strongly disagree,Not satisfied,1,No suggestions
04/01/2025 11:30:08,Rahul Mishra,100259,JNV VARANASI,10 th,10,<2 Hrs,Economics,IT/CS,"Accountancy, Science","Social Science, Chemistry","Social Science, Chemistry","Chemistry, Other",Hindi,Strongly agree,Coaching from existing faculty,Excellent,Agree,"The social science teacher makes history very interesting with stories and anecdotes, but geography classes are quite boring with just reading from the textbook. I think using maps, videos, and interactive tools would make geography more engaging for students like me who find it difficult.",Neutral,Insufficient,Neutral,Very dissatisfied,Neutral,Good infrastructure,Well,Positive,Neutral,Very well,Agree,Highly satisfied,1,Better facilities
15/10/2025 21:21:08,Rohit Verma,100260,JNV VARANASI,9 th,6,More than 4 Hrs,Science,IT/CS,"Business Studies, Social Science","Physics, Hindi","English, Social Science","Economics, Business Studies",Maths,Strongly agree,Reference or side books,Very poor,Strongly disagree,I feel that some teachers give too much homework without considering that we have multiple subjects to study. It becomes overwhelming especially before exams when we have to complete assignments and also prepare for tests. Better coordination among teachers regarding homework would really help.,Agree,Sufficient,Strongly disagree,Very satisfied,Strongly agree,More sports facilities,Well,Strongly positive,Strongly disagree,Poorly,Strongly disagree,Not satisfied,3,Everything good
12/12/2025 18:07:08,Ayush Kumar,100261,JNV VARANASI,12th,6,2-3 Hrs,Other,Maths,"Other, Hindi","Hindi, Economics","English, Science","Maths, English",English,Disagree,Internet materials,Very poor,Strongly disagree,Better revision needed,Strongly disagree,Insufficient,Strongly disagree,Neutral,Agree,"The school playground and sports facilities are good, but access is limited mostly to students who are part of sports teams. Regular students don't get enough opportunity to use these facilities during breaks or free periods. More open access would encourage physical activity among all students.",Very well,Neutral,Neutral,Well,Strongly disagree,Highly satisfied,5,Improve teaching
06/05/2025 19:30:08,Arjun Rastogi,100262,JNV VARANASI,7 th,7,More than 4 Hrs,Hindi,Biology,"Other, Business Studies","Science, Accountancy","IT/CS, Accountancy","Physics, IT/CS",Hindi,Neutral,School only,Very poor,Disagree,"The physical education teacher is very encouraging and helps build confidence in sports. However, I feel that students who are not naturally athletic get ignored sometimes. It would be nice if there were activities suitable for all fitness levels, not just competitive sports.",Disagree,Very insufficient,Strongly disagree,Neutral,Strongly agree,Clean washrooms needed,Poorly,Negative,Strongly disagree,Very poorly,Neutral,Highly satisfied,2,"The school library should have extended hours and a more comfortable reading environment. Currently, it closes early and there are not enough seats for students who want to study there. Creating a quiet, well-lit study space with individual desks would benefit many students."
06/01/2025 17:08:08,Kunal Tripathi,100263,JNV VARANASI,10 th,8,More than 4 Hrs,Physics,Maths,"Business Studies, Science","English, Chemistry","Physics, Social Science","Other, Accountancy",Economics,Strongly agree,Coaching from existing faculty,Good,Agree,"The physics teacher is knowledgeable but often uses very complex language that is difficult for us to understand. I wish the explanations were more simple and included more diagrams and visual aids. Also, connecting physics concepts to everyday life situations would make it much more interesting for students.",Neutral,Sufficient,Agree,Neutral,Strongly disagree,Clean washrooms needed,Well,Strongly positive,Neutral,Very well,Strongly agree,Satisfied,3,Everything good
27/08/2025 13:51:08,Nisha Srivastava,100264,JNV VARANASI,8 th,6,3-4 Hrs,Social Science,IT/CS,"Physics, Biology","IT/CS, Chemistry","Science, Business Studies","English, Social Science",Maths,Strongly disagree,Coaching from existing faculty,Excellent,Strongly disagree,Want more doubt sessions,Neutral,Sufficient,Agree,Very satisfied,Strongly agree,No concerns,Adequately,Positive,Agree,Well,Neutral,Highly satisfied,5,"The school should focus more on practical learning and reduce the emphasis on written exams alone. Project-based assessments, presentations, and group activities would help develop critical thinking and teamwork skills that are important in real life. Not everything should be judged by exam marks alone."
13/06/2025 13:08:08,Arjun Pandey,100265,JNV VARANASI,12th,10,More than 4 Hrs,Accountancy,IT/CS,"Chemistry, Social Science","IT/CS, Business Studies","English, Hindi","Physics, Maths",Accountancy,Disagree,Coaching from existing faculty,Excellent,Strongly agree,Need more practice problems,Disagree,Very sufficient,Strongly agree,Very dissatisfied,Agree,Career guidance and counseling services in our school need significant improvement. Many students in senior classes are confused about their future options and don't know what courses to pursue. Regular career counseling sessions with professionals from different fields would help us make informed decisions.,Well,Strongly negative,Strongly disagree,Poorly,Strongly agree,Satisfied,2,More activities
19/02/2025 01:33:08,Mohit Gupta,100266,JNV VARANASI,7 th,9,<2 Hrs,Physics,Commerce,"English, Physics","Business Studies, Accountancy","Maths, IT/CS","Maths, Biology",Other,Strongly agree,Coaching from outside faculty,Very poor,Strongly disagree,"I feel that our mathematics teacher is very good at explaining concepts, but sometimes the pace is too fast for students who are not naturally strong in math. It would be helpful if the teacher could spend more time on difficult topics like trigonometry and algebra. Also, more practice problems during class would really help us understand better.",Disagree,Sufficient,Disagree,Dissatisfied,Neutral,Better canteen food needed,Adequately,Strongly positive,Neutral,Very poorly,Neutral,Highly satisfied,5,Better facilities
01/10/2025 16:53:08,Amit Sharma,100267,JNV VARANASI,11th,7,More than 4 Hrs,Science,Not Applicable,"Biology, Other","Maths, IT/CS","English, Other","Accountancy, Chemistry",IT/CS,Neutral,Reference or side books,Poor,Agree,Want more doubt sessions,Strongly agree,Neutral,Strongly disagree,Very satisfied,Neutral,Good overall,Poorly,Positive,Neutral,Well,Disagree,Satisfied,1,More field trips
04/10/2025 08:40:08,Ritu Mishra,100268,JNV VARANASI,9 th,10,<2 Hrs,Science,IT/CS,"Maths, Chemistry","Business Studies, Physics","Hindi, Accountancy","Economics, Science",Hindi,Strongly disagree,Coaching from outside faculty,Average,Disagree,Need more practice problems,Agree,Very sufficient,Agree,Very satisfied,Strongly agree,No concerns,Poorly,Positive,Disagree,Well,Strongly disagree,Somewhat satisfied,2,Improve labs
05/10/2025 18:42:08,Neha Agarwal,100269,JNV VARANASI,12th,5,<2 Hrs,Maths,Not Applicable,"Physics, Maths","Economics, Science","IT/CS, Economics","Other, Biology",Biology,Strongly agree,Online coaching,Average,Neutral,Need more practice problems,Strongly disagree,Sufficient,Disagree,Very dissatisfied,Agree,"I appreciate the recent addition of smart classrooms with projectors and interactive boards. These have made learning much more engaging and interesting. However, technical issues are common and sometimes entire classes are wasted due to equipment problems. Better maintenance support is needed.",Very well,Negative,Agree,Adequately,Neutral,Somewhat satisfied,3,Everything good
10/06/2025 08:54:08,Pooja Mehta,100270,JNV VARANASI,12th,9,<2 Hrs,Business Studies,Not Applicable,"Business Studies, Economics","English, Chemistry","Chemistry, IT/CS","Science, Business Studies",Accountancy,Agree,School only,Good,Disagree,Want more doubt sessions,Disagree,Sufficient,Disagree,Dissatisfied,Strongly agree,"I appreciate the recent addition of smart classrooms with projectors and interactive boards. These have made learning much more engaging and interesting. However, technical issues are common and sometimes entire classes are wasted due to equipment problems. Better maintenance support is needed.",Adequately,Positive,Neutral,Adequately,Strongly agree,Not satisfied,1,Reduce pressure
07/02/2026 10:03:08,Mohit Malhotra,100271,JNV VARANASI,12th,6,3-4 Hrs,Economics,IT/CS,"IT/CS, Other","Chemistry, Economics","Hindi, Business Studies","Biology, Science",Economics,Neutral,School only,Poor,Disagree,No concerns,Disagree,Insufficient,Strongly disagree,Very satisfied,Strongly agree,Better canteen food needed,Very poorly,Strongly positive,Agree,Well,Agree,Highly satisfied,3,More activities
20/01/2026 09:47:08,Ramesh Verma,100272,JNV VARANASI,11th,7,2-3 Hrs,Chemistry,Not Applicable,"IT/CS, Business Studies","English, Biology","IT/CS, Physics","IT/CS, Biology",Chemistry,Agree,Online coaching,Poor,Neutral,Good teaching overall,Strongly agree,Very sufficient,Neutral,Satisfied,Strongly disagree,No concerns,Adequately,Strongly negative,Strongly agree,Very poorly,Disagree,Highly satisfied,3,Better career guidance
07/01/2025 05:00:08,Kunal Bansal,100273,JNV VARANASI,12th,10,2-3 Hrs,Maths,Biology,"Biology, Hindi","Accountancy, English","Maths, Science","English, Maths",Business Studies,Strongly disagree,Internet materials,Excellent,Disagree,Better revision needed,Strongly agree,Neutral,Strongly agree,Satisfied,Agree,More activities needed,Very poorly,Negative,Disagree,Poorly,Agree,Satisfied,1,The school should organize regular workshops and seminars with industry professionals and alumni who have succeeded in different fields. Hearing from people who have practical experience would inspire students and give us better insights into various career paths available after school.
31/05/2025 16:23:08,Rohit Kumar,100274,JNV VARANASI,8 th,5,2-3 Hrs,Chemistry,IT/CS,"Business Studies, Hindi","IT/CS, Maths","Science, Biology","English, IT/CS",Social Science,Strongly agree,Coaching from existing faculty,Excellent,Agree,No concerns,Strongly agree,Sufficient,Disagree,Very dissatisfied,Strongly disagree,Improve library,Very well,Strongly negative,Neutral,Poorly,Neutral,Extremely dissatisfied,5,No suggestions
06/01/2026 06:17:08,Manish Malhotra,100275,JNV VARANASI,11th,9,<2 Hrs,Science,Maths,"IT/CS, Hindi","Accountancy, Social Science","Physics, Other","Science, Hindi",Hindi,Strongly agree,Coaching from existing faculty,Excellent,Agree,Better revision needed,Disagree,Neutral,Strongly disagree,Satisfied,Strongly agree,More activities needed,Adequately,Strongly positive,Agree,Poorly,Strongly agree,Not satisfied,2,Everything good
21/03/2025 21:35:08,Amit Srivastava,100276,JNV VARANASI,7 th,10,2-3 Hrs,Social Science,Commerce,"Business Studies, Biology","Physics, Accountancy","English, Maths","Accountancy, Social Science",Maths,Strongly disagree,Reference or side books,Poor,Strongly agree,"The physics teacher is knowledgeable but often uses very complex language that is difficult for us to understand. I wish the explanations were more simple and included more diagrams and visual aids. Also, connecting physics concepts to everyday life situations would make it much more interesting for students.",Agree,Neutral,Strongly disagree,Very satisfied,Strongly agree,Better canteen food needed,Adequately,Strongly positive,Agree,Poorly,Neutral,Not satisfied,2,More field trips
19/12/2025 11:29:08,Vikas Kapoor,100277,JNV VARANASI,9 th,6,3-4 Hrs,Biology,Maths,"Chemistry, English","English, Chemistry","Business Studies, IT/CS","Economics, Other",Other,Disagree,Coaching from outside faculty,Average,Agree,"Our economics teacher makes the subject very interesting by discussing current events and news. However, sometimes the discussions go off-topic and we don't cover the syllabus properly. I suggest having a better balance between current events and textbook concepts.",Strongly agree,Very sufficient,Strongly agree,Very satisfied,Strongly disagree,Improve library,Very poorly,Neutral,Disagree,Very well,Neutral,Satisfied,4,Reduce pressure
06/08/2025 20:44:08,Ankit Pandey,100278,JNV VARANASI,7 th,6,<2 Hrs,Social Science,Biology,"Social Science, Physics","Hindi, Social Science","IT/CS, Social Science","Maths, Physics",Social Science,Disagree,Online coaching,Good,Disagree,"I feel that our mathematics teacher is very good at explaining concepts, but sometimes the pace is too fast for students who are not naturally strong in math. It would be helpful if the teacher could spend more time on difficult topics like trigonometry and algebra. Also, more practice problems during class would really help us understand better.",Disagree,Neutral,Disagree,Neutral,Disagree,Improve transport,Very well,Strongly positive,Agree,Very poorly,Strongly disagree,Extremely dissatisfied,3,No suggestions
25/05/2025 18:33:08,Pooja Pandey,100279,JNV VARANASI,11th,8,2-3 Hrs,Chemistry,Biology,"Other, Business Studies","Chemistry, Accountancy","Social Science, Economics","Accountancy, Hindi",English,Neutral,Internet materials,Good,Strongly agree,Need more practice problems,Strongly agree,Very sufficient,Strongly disagree,Neutral,Strongly agree,More activities needed,Poorly,Positive,Disagree,Poorly,Agree,Not satisfied,4,"I strongly suggest that our school should introduce more vocational training and skill development courses alongside regular academics. Subjects like basic coding, financial literacy, communication skills, and practical life skills would prepare us better for the real world. Many students don't want to pursue traditional academic paths and need alternative options."
02/08/2025 09:47:08,Sanjay Sharma,100280,JNV VARANASI,12th,8,More than 4 Hrs,Other,Maths,"English, Business Studies","Biology, Hindi","Economics, Maths","English, Physics",Business Studies,Disagree,Coaching from existing faculty,Poor,Neutral,Need more explanation,Disagree,Very insufficient,Strongly agree,Very satisfied,Disagree,Improve transport,Very poorly,Strongly positive,Neutral,Very poorly,Neutral,Satisfied,5,"Our school should partner with coaching institutes or provide special classes for competitive exam preparation like JEE, NEET, and CLAT. Many students have to take expensive external coaching which is a financial burden. In-school preparation programs would level the playing field for all students."
23/08/2025 11:03:08,Aakash Kapoor,100281,JNV VARANASI,10 th,8,More than 4 Hrs,Physics,Biology,"Maths, Biology","Social Science, Accountancy","Economics, Biology","Business Studies, English",Economics,Strongly disagree,Internet materials,Poor,Strongly agree,Need more examples,Neutral,Insufficient,Strongly disagree,Satisfied,Disagree,Clean washrooms needed,Adequately,Strongly negative,Disagree,Adequately,Neutral,Extremely dissatisfied,5,"The school should organize more inter-school competitions and exchange programs. Interacting with students from other schools would broaden our perspectives and help develop important social skills. Currently, we are limited to competing only within our school which limits our exposure."
03/12/2025 12:42:08,Kunal Pandey,100282,JNV VARANASI,11th,8,3-4 Hrs,Economics,IT/CS,"Science, Social Science","Business Studies, Maths","Physics, Social Science","Other, English",Economics,Disagree,Reference or side books,Average,Strongly disagree,Good teaching overall,Strongly disagree,Sufficient,Strongly disagree,Neutral,Strongly agree,More activities needed,Adequately,Strongly positive,Agree,Very well,Agree,Somewhat satisfied,5,Better facilities
07/01/2026 10:18:08,Ankit Pandey,100283,JNV VARANASI,11th,6,3-4 Hrs,Biology,Biology,"Physics, Accountancy","Science, Maths","Economics, Physics","Economics, Biology",English,Strongly agree,Coaching from existing faculty,Excellent,Neutral,Our class teacher is very supportive and always listens to our problems patiently. I really appreciate how she handles conflicts between students fairly and creates a positive classroom environment. More teachers should follow her approach of being approachable and understanding.,Agree,Very sufficient,Neutral,Dissatisfied,Strongly disagree,Need better labs,Very poorly,Strongly positive,Agree,Very poorly,Agree,Not satisfied,5,More sports events
01/05/2025 00:21:08,Vikas Tiwari,100284,JNV VARANASI,7 th,5,More than 4 Hrs,Maths,IT/CS,"Other, Physics","Economics, Social Science","Social Science, Accountancy","Maths, Business Studies",Other,Strongly disagree,Reference or side books,Good,Neutral,Classes are too fast,Agree,Sufficient,Strongly disagree,Very satisfied,Agree,"The school infrastructure is quite good with nice classrooms and sports facilities. However, the library is not well-stocked with recent books and study materials. Many reference books are outdated and we have to rely on external sources for competitive exam preparation. Updating the library collection would greatly benefit students.",Very poorly,Negative,Strongly disagree,Very poorly,Strongly disagree,Extremely dissatisfied,2,Improve labs
19/10/2025 13:11:08,Rahul Jain,100285,JNV VARANASI,7 th,5,More than 4 Hrs,Economics,Maths,"Hindi, Chemistry","Hindi, Other","Science, Business Studies","Business Studies, Chemistry",Physics,Agree,School only,Poor,Strongly disagree,"Our English teacher is excellent at teaching grammar and writing skills, but I feel we need more focus on spoken English and communication. Many students in our class struggle with speaking confidently in English. Perhaps we could have regular debates or presentations to improve our speaking abilities.",Agree,Neutral,Agree,Dissatisfied,Strongly agree,"Transportation facilities provided by the school are generally good, but the buses are overcrowded during peak hours. This makes the commute uncomfortable and sometimes unsafe. Adding more buses or adjusting routes could help distribute students better and improve the travel experience.",Adequately,Strongly negative,Disagree,Very well,Agree,Highly satisfied,3,Better facilities
11/01/2026 14:28:08,Arjun Mehta,100286,JNV VARANASI,7 th,10,3-4 Hrs,Social Science,Not Applicable,"Social Science, Hindi","Accountancy, Social Science","English, Maths","Chemistry, Economics",Accountancy,Disagree,Internet materials,Good,Agree,Need more practice problems,Neutral,Neutral,Disagree,Very dissatisfied,Neutral,Good overall,Well,Strongly negative,Agree,Poorly,Strongly disagree,Satisfied,2,No suggestions
04/03/2025 22:37:08,Nitin Kapoor,100287,JNV VARANASI,11th,5,2-3 Hrs,English,Not Applicable,"Maths, Biology","Other, Science","Social Science, English","Other, Biology",Maths,Strongly agree,Reference or side books,Very poor,Strongly disagree,"I appreciate how our Hindi teacher explains classical literature and poetry with so much passion. However, the examination pattern focuses too much on rote memorization rather than understanding. It would be better if we could discuss the meanings and interpretations more during class instead of just memorizing answers.",Strongly disagree,Very sufficient,Agree,Dissatisfied,Strongly agree,Improve transport,Poorly,Positive,Strongly agree,Well,Neutral,Highly satisfied,1,Better facilities
16/10/2025 16:45:08,Manish Tiwari,100288,JNV VARANASI,8 th,8,<2 Hrs,Biology,Maths,"Business Studies, English","Social Science, Hindi","Physics, Chemistry","Hindi, Social Science",Accountancy,Agree,Coaching from existing faculty,Excellent,Disagree,I feel that some teachers give too much homework without considering that we have multiple subjects to study. It becomes overwhelming especially before exams when we have to complete assignments and also prepare for tests. Better coordination among teachers regarding homework would really help.,Disagree,Neutral,Neutral,Satisfied,Disagree,Improve library,Adequately,Strongly negative,Neutral,Very poorly,Strongly disagree,Satisfied,5,"The school should organize more inter-school competitions and exchange programs. Interacting with students from other schools would broaden our perspectives and help develop important social skills. Currently, we are limited to competing only within our school which limits our exposure."
15/11/2025 17:41:08,Sanjay Agarwal,100289,JNV VARANASI,9 th,5,More than 4 Hrs,Social Science,Maths,"Science, Economics","Biology, IT/CS","English, Biology","Other, Biology",Business Studies,Neutral,Online coaching,Poor,Agree,"Our computer science teacher is very patient and explains programming concepts clearly. However, we have very limited computer access and have to share systems during practicals. This makes it difficult to practice coding properly. I hope the school can provide more computers for the lab.",Neutral,Very sufficient,Strongly disagree,Very dissatisfied,Neutral,No concerns,Poorly,Neutral,Strongly disagree,Very poorly,Strongly agree,Extremely dissatisfied,1,More field trips
18/02/2025 07:57:08,Shivam Kapoor,100290,JNV VARANASI,12th,10,3-4 Hrs,Maths,Maths,"Maths, Physics","Other, English","Biology, Business Studies","Maths, Other",Biology,Neutral,Online coaching,Very poor,Strongly agree,"The social science teacher makes history very interesting with stories and anecdotes, but geography classes are quite boring with just reading from the textbook. I think using maps, videos, and interactive tools would make geography more engaging for students like me who find it difficult.",Disagree,Very insufficient,Agree,Very dissatisfied,Neutral,Better canteen food needed,Very poorly,Strongly positive,Agree,Well,Strongly agree,Somewhat satisfied,5,I suggest implementing a peer tutoring program where academically strong students can help those who are struggling. This would benefit both groups - tutors would reinforce their learning while tutees would get extra help in a comfortable environment from their peers.
16/06/2025 09:28:08,Manish Gupta,100291,JNV VARANASI,12th,9,<2 Hrs,Biology,Commerce,"Biology, Maths","Economics, Science","Economics, Biology","Science, Accountancy",Hindi,Strongly agree,Reference or side books,Average,Neutral,No concerns,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,More sports facilities,Adequately,Strongly negative,Strongly disagree,Very well,Disagree,Somewhat satisfied,2,Better career guidance
24/03/2025 19:12:08,Abhishek Agarwal,100292,JNV VARANASI,7 th,10,2-3 Hrs,English,IT/CS,"Maths, Social Science","Economics, Other","Physics, Business Studies","Science, IT/CS",Maths,Agree,Online coaching,Average,Agree,Better revision needed,Disagree,Neutral,Neutral,Dissatisfied,Disagree,"Our school should organize more educational trips and excursions. Learning through experiences is much more effective than classroom teaching alone. Visits to museums, science centers, historical places, and even industries related to our subjects would enhance our understanding significantly.",Very well,Positive,Neutral,Adequately,Neutral,Not satisfied,2,Better facilities
27/01/2026 06:50:08,Pooja Tiwari,100293,JNV VARANASI,6 th,5,More than 4 Hrs,Biology,Biology,"Economics, Biology","Social Science, Economics","Biology, Social Science","Business Studies, Physics",Science,Strongly disagree,Internet materials,Poor,Neutral,"The accountancy teacher is good at explaining numerical problems, but rushes through theoretical concepts. Many students including me struggle with the theory portion in exams. It would help if equal time was given to both theory and practical numerical problems during class.",Disagree,Very insufficient,Disagree,Dissatisfied,Strongly agree,Better canteen food needed,Very poorly,Strongly positive,Strongly disagree,Adequately,Strongly agree,Satisfied,5,Improve labs
06/09/2025 01:50:08,Nitin Saxena,100294,JNV VARANASI,8 th,8,<2 Hrs,Biology,Biology,"IT/CS, Maths","Social Science, Economics","Economics, Chemistry","Accountancy, Science",Business Studies,Neutral,Reference or side books,Poor,Disagree,Need more practice problems,Strongly agree,Sufficient,Strongly disagree,Satisfied,Strongly agree,Need better labs,Very well,Strongly negative,Neutral,Poorly,Agree,Somewhat satisfied,1,Improve teaching
07/03/2025 21:21:08,Rahul Kumar,100295,JNV VARANASI,11th,9,2-3 Hrs,Biology,Maths,"Hindi, Science","Accountancy, Maths","Maths, Science","Chemistry, Hindi",Science,Strongly agree,School only,Good,Disagree,Need more examples,Strongly disagree,Very insufficient,Disagree,Very satisfied,Neutral,"I think the school needs to address the issue of bullying more seriously. While teachers try to resolve conflicts, there is no proper system for students to report incidents confidentially. A dedicated counselor or helpline for such issues would make students feel safer.",Adequately,Strongly negative,Disagree,Very poorly,Agree,Somewhat satisfied,1,More activities
